,watchers,stars,forks,type,issues,size,open_issues_count,num_languages,language_1,language_1_size,language_2,language_2_size,language_3,language_3_size
56978,2,1,0,User,0,72,0,0,0,0.0,0,0.0,0,0.0
99376,1,1,0,User,0,1660,0,7,Python,90418.0,Go,14075.0,PHP,4394.0
82658,1,1,1,User,0,454,0,0,PHP,0.0,0,0.0,0,0.0
125528,1,2,1,User,0,99,0,1,Ruby,4568.0,0,0.0,0,0.0
89216,1,2,1,User,0,2312,0,2,Ruby,59303.0,JavaScript,829.0,0,0.0
38843,2,1,3,User,0,140,0,0,0,0.0,0,0.0,0,0.0
136876,0,14,3,Organization,0,368,0,1,Ruby,39895.0,0,0.0,0,0.0
49951,2,0,0,User,0,120,0,1,C++,4978.0,0,0.0,0,0.0
122391,1,3,16,User,0,147,0,1,Ruby,14419.0,0,0.0,0,0.0
114625,1,1,1,User,0,103,0,1,PHP,27146.0,0,0.0,0,0.0
58436,1,1,1,User,0,565,0,3,Objective-C,708851.0,Shell,4311.0,C,2914.0
81426,1,1,1,User,0,2706,0,0,JavaScript,0.0,0,0.0,0,0.0
104814,1,1,0,User,0,120,0,0,0,0.0,0,0.0,0,0.0
102184,1,1,0,User,0,92,0,0,0,0.0,0,0.0,0,0.0
135910,70,764,267,User,4,192,4,1,PHP,12816.0,0,0.0,0,0.0
14341,3,9,273,User,0,133,0,0,0,0.0,0,0.0,0,0.0
13737,2,7,2,User,0,93,0,1,JavaScript,16707.0,0,0.0,0,0.0
12602,2,5,1,User,0,856,0,2,Python,130808.0,JavaScript,13324.0,0,0.0
107625,3,2,0,Organization,0,600,0,1,Java,32591.0,0,0.0,0,0.0
94343,1,1,1,User,0,6465,0,0,0,0.0,0,0.0,0,0.0
119295,1,1,0,User,0,92,0,1,Ruby,1445.0,0,0.0,0,0.0
101653,1,3,1,User,0,1267,0,1,Ruby,176237.0,0,0.0,0,0.0
41700,7,7,4,User,0,76,0,1,Python,6993.0,0,0.0,0,0.0
27403,2,3,0,User,0,100,0,1,Python,18663.0,0,0.0,0,0.0
134457,1,1,0,User,0,1360,0,1,C#,82944.0,0,0.0,0,0.0
68826,2,2,1,User,0,205,0,1,C++,80003.0,0,0.0,0,0.0
100746,2,1,0,Organization,0,92,0,0,0,0.0,0,0.0,0,0.0
1233,4,7,1,Organization,1,569,1,1,Lua,20649.0,0,0.0,0,0.0
128050,4,5,0,User,0,232,0,2,PHP,28580.0,JavaScript,3073.0,0,0.0
97641,1,1,1,User,0,102,0,1,Ruby,18521.0,0,0.0,0,0.0
91787,3,7,2,User,0,2525,0,1,Erlang,140491.0,0,0.0,0,0.0
130400,1,1,1,User,0,110,0,1,Erlang,30682.0,0,0.0,0,0.0
97062,16,200,24,User,12,2508,12,6,C,509359.0,C++,135344.0,M4,9446.0
52060,2,5,1,User,0,1767,0,4,C,557251.0,Objective-C,321094.0,Ruby,12447.0
54236,1,2,1,User,0,768,0,2,Ruby,17978.0,JavaScript,1316.0,0,0.0
17261,2,2,0,User,0,88,0,0,0,0.0,0,0.0,0,0.0
27611,2,1,1,User,0,81,0,0,0,0.0,0,0.0,0,0.0
71357,1,4,1,User,0,134,0,1,Python,32922.0,0,0.0,0,0.0
73984,1,7,0,User,0,132,0,2,Python,33155.0,C,502.0,0,0.0
61444,2,0,0,User,0,80,0,1,Common Lisp,12296.0,0,0.0,0,0.0
61977,2,1,0,User,0,120,0,3,Python,15831.0,Erlang,4615.0,JavaScript,4581.0
135667,1,1,1,User,0,22961,0,0,C++,0.0,0,0.0,0,0.0
7562,3,33,2,User,0,477,0,3,Ruby,120362.0,JavaScript,3695.0,Shell,1791.0
133738,1,1,1,User,0,4867,0,0,JavaScript,0.0,0,0.0,0,0.0
34786,1,1,0,User,0,12408,0,1,Java,7372.0,0,0.0,0,0.0
32377,2,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
20439,2,2,0,User,0,859,0,0,Ruby,0.0,0,0.0,0,0.0
89290,1,1,0,User,0,76,0,0,0,0.0,0,0.0,0,0.0
33127,2,2,0,User,0,384,0,2,PHP,8282.0,JavaScript,3384.0,0,0.0
34570,2,1,0,User,0,2484,0,1,C++,7494.0,0,0.0,0,0.0
31269,7,216,59,User,3,543,3,4,VimL,96888.0,Python,12517.0,Objective-C,1281.0
98084,1,1,0,User,0,116,0,0,0,0.0,0,0.0,0,0.0
15593,3,4,1,User,0,22791,0,2,Ruby,117970.0,JavaScript,148.0,0,0.0
74447,1,2,0,User,0,156,0,2,PHP,66698.0,Shell,221.0,0,0.0
58219,1,1,1,User,0,290,0,0,PHP,0.0,0,0.0,0,0.0
18418,2,2,0,User,0,84,0,1,Python,1626.0,0,0.0,0,0.0
96793,0,2,0,User,0,96,0,1,Ruby,443.0,0,0.0,0,0.0
36511,6,1,0,Organization,0,20976,0,2,JavaScript,10107453.0,PHP,13842.0,0,0.0
89907,1,4,1,User,0,4761,0,4,C++,381294.0,Shell,35691.0,C,14997.0
57511,2,2,0,User,0,104,0,1,Python,79805.0,0,0.0,0,0.0
90907,1,5,4,User,0,215,0,1,JavaScript,87189.0,0,0.0,0,0.0
79331,1,1,1,User,0,80,0,1,Scala,3548.0,0,0.0,0,0.0
4397,2,4,0,User,0,112,0,1,Ruby,13752.0,0,0.0,0,0.0
74388,0,1,0,User,0,72,0,0,0,0.0,0,0.0,0,0.0
17711,2,13,4,User,0,11733,0,2,Java,2489026.0,Shell,2436.0,0,0.0
102299,2,3,1,User,0,26,0,1,Perl,14424.0,0,0.0,0,0.0
113746,1,1,1,User,0,6098,0,2,Ruby,141565.0,JavaScript,971.0,0,0.0
32061,2,4,1,User,0,118,0,1,Ruby,33421.0,0,0.0,0,0.0
68514,1,2,1,User,3,160,3,2,Ruby,6971.0,Batchfile,16.0,0,0.0
4013,3,60,8,User,0,7697,0,2,Objective-C,267810.0,Ruby,1747.0,0,0.0
33970,3,2,0,Organization,0,48,0,0,0,0.0,0,0.0,0,0.0
14794,2,3,0,User,0,176,0,1,Ruby,27776.0,0,0.0,0,0.0
99976,1,1,0,User,0,22452,0,1,Java,5537.0,0,0.0,0,0.0
75752,2,13,4,User,0,662,0,1,Python,8844.0,0,0.0,0,0.0
125401,1,1,1,Organization,0,232,0,1,Python,66101.0,0,0.0,0,0.0
76962,1,1,0,User,0,112,0,0,0,0.0,0,0.0,0,0.0
14427,3,10,2,User,0,149,0,1,JavaScript,15328.0,0,0.0,0,0.0
101490,1,1,0,User,0,57016,0,3,JavaScript,202753.0,ActionScript,44456.0,PHP,1592.0
134867,1,1,0,User,0,216,0,3,C,105280.0,C++,18200.0,PHP,91.0
129255,1,1,1,User,0,618,0,1,Ruby,51942.0,0,0.0,0,0.0
