,stars
111961,2
14364,3
47054,1
90235,7
95003,1
104939,3
31538,1
62375,2
44412,2
70417,1
126794,6
10575,10
13690,2
88427,1
14358,2
99148,9
1936,4
133004,1
33589,1
117087,1
114223,1
81768,3
69042,48
23740,2
160,7
48221,6
49216,2
78430,1
271,1178
121963,1
80694,1
52396,1
19028,4
70503,11
1955,5
40049,1
88366,1
494,4
33661,1
87432,3
81475,1
49904,5
44520,1
70905,3
83811,5
34830,0
49638,1
107374,1
14398,3
130383,1
122215,3
37258,3
56986,0
51062,1
27954,1
81383,4
85430,6
132796,1
106093,1
84681,18
71906,1
18494,3
87964,42
87171,1
95256,8
18560,5
122228,4
128540,1
22686,2
122097,1
12934,2
82321,0
117885,4
92175,3
45397,0
10981,2
87821,1
15949,2
120694,1
130917,1
68401,1
6984,2
94268,0
52079,2
53134,13
53837,1
3029,2
49660,1
68495,4
7134,4
46996,1
16531,20
5308,1
51654,1
27172,1
107052,1
97943,7
44613,1
42213,1
90813,6
125460,0
6357,8
339,104
17777,2
13349,3
76624,10
25723,7
105733,2
61719,1
69654,2
45975,1
64625,2
10552,9
9421,1
56869,1
59810,1
11160,2
74910,3
38397,1
44158,1
57661,1
5984,1
74000,1
80473,1
39164,7
126336,1
48186,3
34444,1
43678,1
103000,1
133252,2
68119,1
66029,1
104795,1
120097,2
50128,7
58823,1
115461,2
91395,1
20111,2
17065,2
7716,1
112815,39
48559,1
132438,1
44652,1
19447,2
130081,1
123647,1
94951,2
126979,1
508,5
107645,0
66783,1
69895,3
57354,1
54365,1
60958,3
100764,1
69565,1
57722,1
6856,3
61034,1
125800,0
118399,1
97220,1
97703,2
79160,4
29530,2
52926,2
33914,1
113860,2
117769,2
28170,40
94711,3
82067,55
40161,1
118792,3
33632,2
123289,1
130976,1
131808,11
28182,1
91913,1
51312,1
77133,12
8202,8
58771,3
78515,10
52470,2
68190,0
902,40
60836,1
102668,40
125492,1
115160,1
90586,37
11726,3
60690,1
91180,10
75966,1
74038,0
83774,1
75895,0
40644,1
119643,1
32121,1
117335,1
114374,1
11602,2
70249,190
130788,2
97160,0
23075,2
131348,2
129565,2
73217,14
130330,7
636,3
1234,3
28976,1
112517,0
47529,1
33805,4
122582,5
40359,1
28519,2
34773,2
52168,1
87023,1
116584,1
104469,1
108591,1
82891,493
61048,3
112952,3
1989,6
95772,2
75704,8
125658,1
75749,2
6094,2
110674,1
135869,7
83292,0
114194,2
108203,0
63099,2
24479,3
35679,1
133792,2
118182,1
99242,19
64955,1
61547,38
130614,2
136067,1
38061,22
55445,1
93269,4
57754,247
93404,1
12104,5
30957,1
8123,4
99710,2
65826,1
31470,2
58199,1
28946,25
67477,3
58599,1
83242,1
110967,1
118455,1
73747,59
106900,1
95699,1
122555,1
123553,1
125777,1
21328,3
113485,1
95637,1
74015,2
49978,1
80981,1
123418,1
65330,3
68500,1
66289,1
40954,0
9210,2
7438,6
